"time","rift_length"
"0","8160.0"
"10","36191.0"
"20","31561.0"
"30","33614.0"
"40","24830.0"
"50","23720.0"
"60","16550.0"
"70","15610.0"
"80","15610.0"
"90","16105.0"
"100","16505.0"
"110","36175.0"
"120","32070.0"
"130","32626.0"
"140","33926.0"
"150","28206.0"
"160","25466.0"
"170","20955.0"
"180","23271.0"
"190","23271.0"
"200","22671.0"
"210","30406.0"
"220","30406.0"
"230","30406.0"
"240","21490.0"
"250","24675.0"
"260","15088.0"
"270","15088.0"
"280","23548.0"
"290","23548.0"
"300","17555.0"
"310","17075.0"
"320","11475.0"
"330","11475.0"
"340","11475.0"
"350","11475.0"
"360","12655.0"
"370","12655.0"
"380","12655.0"
"390","11165.0"
"400","8104.0"
"410","8104.0"
"420","4240.0"
"430","5470.0"
"440","5470.0"
"450","3440.0"
"460","3560.9907732987413"
"470","5765.548587638896"
"480","3681.508607274847"
"490","6595.42615868903"
"500","6595.42615868903"
"510","8899.824423384394"
"520","10207.859954790918"
"530","8003.3021404507635"
"540","11721.645478342005"
"550","12556.537829641204"
"560","8165.669485292329"
"570","17595.35093069959"
"580","15705.923355511679"
"590","11987.580017620438"
"600","8407.370722301348"
"610","7992.400032793889"
"620","874.3656965907346"
"630","874.3656965907346"
"640","2125.848609063784"
"650","2125.848609063784"
"660","2125.848609063784"
"670","9039.90531575431"
"680","9955.980001468772"
"690","11581.40430602866"
"700","13842.111449355616"
"710","12590.628536882567"
"720","15991.876991482417"
"730","12106.53364052567"
"740","12106.53364052567"
"750","14620.674874124192"
"760","12079.175883849843"
"770","7572.841668426533"
"780","15698.530773424482"
"790","15698.530773424482"
"800","20266.229691569744"
"810","19318.21292058487"
"820","21023.44676638516"
"830","18570.215082770184"
"840","7853.371152947141"
"850","7853.371152947141"
"860","4012.4285184278706"
"870","4012.4285184278706"
"880","4012.4285184278706"
"890","0.0"
"900","2350.659958873428"
"910","2350.659958873428"
"920","2350.659958873428"
"930","2350.659958873428"
"940","2350.659958873428"
"950","2350.659958873428"
"960","2350.659958873428"
"970","2350.659958873428"
"980","2350.659958873428"
"990","2350.659958873428"
"1000","2350.659958873428"
